"filename","description"

"white_line.png","Contexts: Barriers to flow should be reduced, especially in the following contexts: 1) When stations suffer from emptiness, there is a need to promote the flow of people (leisure users from the city neighborhoods), letting them use the redundant station spaces for public life, leisure activities, events, and so on. 2) When City axes (25) (in which the stations are located) are planned to promote the flow. 3) When stations already are Connected with city neighborhoods (8), but due to the connections’ qualities being poor, only passengers driven by strong motives would pass through the connections, while leisure users are not willing to use the connections.
Problems: Barriers of flow are usually in the following forms with respective reasons: 1) Stairs as barriers. Pedestrians need to make efforts to overcome level changes, and much attention is needed to walk on the steps in case of falling down.
2) Lengthy, narrow, and boring paths. 3) Tunnels, skywalks/footbridges - Pedestrians need to make efforts to overcome level changes - Pedestrians would rather walk on the ground if possible. Tunnels are usually quite dark, making pedestrians feel unsafe. Skywalks/footbridges are unpleasant to walk on if they are non-weather-protected, without shading from trees or building canopies. 4) Walking areas that are interfered with by intensive vehicle traﬀic - Pedestrians feel unsafe to walk through, and much attention is needed to prevent being hit by a car. 5) Strict security checking points (Common in Chinese stations) - Too much effort is needed to pass through them. 6) Ticket gates - They make gated areas inaccessible for people without tickets.
Barriers can lead to commercial stores in station areas being shut down during non-peak times, since city leisure users, as potential customers, are not willing to overcome barriers to explore the stores.
Solutions: Therefore, it is necessary to Reduce barriers to ease flow, at the district level (fig. 42) and at the building level (fig. 43). The following interventions can be taken, depending on the barrier types: 1) Use ground-level paths as much as possible, to avoid level changes, and to continue the street-level qualities of the overall environment. 2) Smooth level changes by landscape design (9) & (10). (This is particularly useful with small level changes; For large level changes, using escalators is usually more appropriate). 3) For lengthy boring paths, design them like Human-oriented spaces (7), make them more pleasant with leisure facilities, otherwise use Shortcuts or optimizing paths (P13) 4) If footbridges/skywalks are adopted, create street-like qualities, such as weather-protected shading and convenience facilities. 5) Separate traﬀic roads from pedestrian paths, e.g., horizontally make alignment between the pedestrian flow and traﬀic flow to avoid overlapping, or vertically submerging traﬀic roads underground or elevating traﬀic roads. 6) Security checks and ticket gates are primarily management issues. For spatial design considerations, possibly Shortcuts or optimizing paths (P13) can help. 7) Consider City passages and their positioning (20) & (21) if station areas are cut apart by railway tracks.
Limitations: Given barriers are reduced, the flow of leisure users should not cause severe interference to passenger flow. Also, every measure has a (financial) cost, hence reducing barriers should bring enough benefits.
"







"placeholder1.jpeg","placeholder1"


