"filename","description"

"white_line.png","Contexts & Problems & Solutions: If a station has huge fluctuations of passengers, to support Flexible use (1), they can be designed as a flexible building, or a building with some flexible components (including, such as the flexible gate machines).
Similar to the word ’flexible,’ temporarily used buildings solve the emptiness issue from the root. There are various types of buildings titled with concepts that enable a certain degree of flexibility. These concepts include ’changeable,’ ’movable,’ or ’temporary buildings,’ ’flexible,’ ’multi-functional’ (in temporal dimension), ’reconfigurable,’ ’kinetic’ (Para- metric Architecture, 2024), and so on (Geraedts, 2011). These buildings have flexibility either by changing their use (programming) during different times, or their existence (assemblage) during certain periods.
Examples: Flexible buildings in the real world are not common due to the high cost and high maintenance. Here are a few non-station examples: 1) The Shed (fig. 33), which has a movable hall as an event venue. 2) Stadium 974 (fig. 34), which is a stadium made of containers and can be assembled and shipped (see also design proposal by Smith (2023)). For station cases, there are examples such as 3) temporary station buildings during the construction of the main new station buildings (e.g., in the Rotterdam Central Station case). In Shanghai South Railway Station and Beijing West Stations, many redundant checking machines are allocated in the gate areas, which can be used during peak times for higher capacity.
Limitations: Flexible buildings are expensive to build and maintain; They are like a fantasy against reality in most situations.
"







"placeholder1.jpeg","placeholder1"


