real index;index;design_principle_name;Source of heuristics;Paradigm;District vs Building;Outdoor vs Indoor;Overcrowding vs Emptiness;Pitfall;Limitations;Fixed vs Flexible;Element vs Layout;Spatial vs Managerial;Form vs Function;(Other) Themes;picture_location;detail_pictures_folder
27;1;Flexible use;Literature + Cases;Human-centered;District-level;Indoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);(Not yet known);Fixed;(No relevance from this perspective);Spatial;Function;(Not relevant from this perspective);image/index_pictures/index_pictures.027.jpeg;27
20;2;Suitable general layouts of the station and city;Literature + Cases;Human-centered / Car-centered;District-level;Outdoor;(Depend on the context);(Not yet known);(Not yet known);Fixed;Layout;Spatial;Form;(Not relevant from this perspective);image/index_pictures/index_pictures.020.jpeg;20
16;3;Set apart non-transport function;Cases;Human-centered;District-level;Outdoor;Reduce Overcrowding;mono-use;(Not yet known);Fixed;Layout;Spatial;Form;(Not relevant from this perspective);image/index_pictures/index_pictures.016.jpeg;16
17;4;Vibrate city environment by scattered mobility nodes;Cases;Human-centered;District-level;Outdoor;Reduce Emptiness;Complicate wayfinding/Longer transfer distance;(Not yet known);Fixed;Layout;Spatial;Form;Scattered layout;image/index_pictures/index_pictures.017.jpeg;17
14;5;Increase accommodating capacity by scattered mobility nodes;Cases (+ Simulation);Human-centered;District-level;Outdoor;Reduce Overcrowding;Complicate wayfinding;(Not yet known);Fixed;Layout;Spatial;Form;Scattered layout;image/index_pictures/index_pictures.014.jpeg;14
1;6;Make events visible by aligning main paths and open spaces;Cases + Research-by-design;Human-centered;District-level;Outdoor;Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Layout;Spatial;Form;Supportive for flexible interventions/Different levels of Flexibility;image/index_pictures/index_pictures.001.jpeg;1
2;7;Human-oriented spaces;Cases + Research-by-design;Human-centered;District-level;Outdoor;Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Layout;Spatial;Form;Supportive for flexible interventions/Different levels of Flexibility;image/index_pictures/index_pictures.002.jpeg;2
10;8;Connect with neighborhoods;Cases;Human-centered;District-level;Outdoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Element;Spatial;Form;Bottleneck-related;image/index_pictures/index_pictures.010.jpeg;10
7;9;Smooth level changes by landscape design (District level);Cases;Human-centered;District-level;Outdoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Element;Spatial;Form;Reduce level change by landscape design;image/index_pictures/index_pictures.007.jpeg;7
22;10;Smooth level changes by landscape design (Building level);Cases;Human-centered;Building-level;Indoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Element;Spatial;Form;Reduce level change by landscape design;image/index_pictures/index_pictures.022.jpeg;22
12;11;Adaptive redundant spaces with path regulation;Cases + Research-by-design;Human-centered;District-level;Outdoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);(Not yet known);Fixed + Flexible;Layout;Spatial + Managerial;Form;Related to Redundant space;image/index_pictures/index_pictures.012.jpeg;12
18;12;Programming considering the time dimension;Literature + Research-by-design;Human-centered;District-level;Outdoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);(Not yet known);Flexible;Element;Spatial + Managerial;Form;Different levels of Flexibility/Related to Redundant space;image/index_pictures/index_pictures.018.jpeg;18
6;13;Shortcuts or optimizing paths;Cases + Research-by-design;Human-centered;Building-level;Indoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);Regulations of security check;Fixed;Layout;Spatial;Form;(Not relevant from this perspective);image/index_pictures/index_pictures.006.jpeg;6
8;14;Flexible buildings;Literature + Cases + Research-by-design;Human-centered;Building-level;Outdoor;Reduce Emptiness;(Not yet known);High cost;Fixed + Flexible;Element;Spatial + Managerial;Form;(Not relevant from this perspective);image/index_pictures/index_pictures.008.jpeg;8
24;15;Flexible building components;Research-by-design;Human-centered;Building-level;Indoor;Reduce Overcrowding;(Not yet known);(Not yet known);Flexible;Element;Spatial;Form;(Not relevant from this perspective);image/index_pictures/index_pictures.024.jpeg;24
3;16;Add installations and facilities;Literature + Cases;Human-centered;District-level;Outdoor;Reduce Emptiness;(Not yet known);(Not yet known);Flexible;Element;Spatial + Managerial;Form;Different levels of Flexibility;image/index_pictures/index_pictures.003.jpeg;3
4;17;Reconfigurable elements;Literature;Human-centered;District-level;Outdoor;Reduce Emptiness;(Not yet known);(Not yet known);Fixed + Flexible;Element;Spatial + Managerial;Form;(Not relevant from this perspective);image/index_pictures/index_pictures.004.jpeg;4
11;18;Redundant spaces;Cases;Human-centered;District-level;Outdoor;Reduce Overcrowding;Increase emptiness;(Not yet known);Fixed;Element;Spatial;Form;Related to Redundant space;image/index_pictures/index_pictures.011.jpeg;11
15;19;Setting apart bottlenecks;Literature;Human-centered;Building-level;Indoor;Reduce Overcrowding;Increase emptiness;(Not yet known);Fixed;Layout;Spatial;Form;Bottleneck-related;image/index_pictures/index_pictures.015.jpeg;15
13;20;City passages;Cases;Human-centered;Building-level;Outdoor;Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Element;Spatial;Form;City passage;image/index_pictures/index_pictures.013.jpeg;13
23;21;Position city passages;Cases + Research-by-design;Human-centered;District-level;Outdoor;Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Layout;Spatial;Form;City passage;image/index_pictures/index_pictures.023.jpeg;23
9;22;Reduce barriers to ease flow (District level);Cases;Human-centered;District-level;Outdoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Element;Spatial;Form;Bottleneck-related;image/index_pictures/index_pictures.009.jpeg;9
21;23;Reduce barriers to ease flow (Building level);Research-by-design;Human-centered;Building-level;Indoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Element;Spatial;Form;Bottleneck-related;image/index_pictures/index_pictures.021.jpeg;21
5;24;Stairs as stages or seats;Cases;Human-centered;District-level;Outdoor;Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Element;Spatial;Form;(Not relevant from this perspective);image/index_pictures/index_pictures.005.jpeg;5
25;25;City axes;Cases;Human-centered;District-level;Outdoor;Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Layout;Spatial;Form;(Not relevant from this perspective);image/index_pictures/index_pictures.025.jpeg;25
26;26;Reconfigurable spaces;Literature;Human-centered;District-level;Outdoor;Reduce Overcrowding + Reduce Emptiness;(Not yet known);Manegerial cost;Flexible;Layout;Spatial + Managerial;Form;(Not relevant from this perspective);image/index_pictures/index_pictures.026.jpeg;26
28;27;Space or furniture for seating;Cases;Human-centered;District-level;Outdoor;Reduce Emptiness;(Not yet known);(Not yet known);Fixed;Element;Spatial;Form;Supportive for flexible interventions/Different levels of Flexibility;image/index_pictures/index_pictures.028.jpeg;28
